city,year,weekofyear,total_cases
sj,2008,18,10
sj,2008,19,14
sj,2008,20,13
sj,2008,21,18
sj,2008,22,22
sj,2008,23,24
sj,2008,24,27
sj,2008,25,29
sj,2008,26,34
sj,2008,27,35
sj,2008,28,35
sj,2008,29,36
sj,2008,30,36
sj,2008,31,41
sj,2008,32,39
sj,2008,33,43
sj,2008,34,39
sj,2008,35,40
sj,2008,36,41
sj,2008,37,39
sj,2008,38,38
sj,2008,39,34
sj,2008,40,34
sj,2008,41,36
sj,2008,42,34
sj,2008,43,28
sj,2008,44,35
sj,2008,45,33
sj,2008,46,32
sj,2008,47,31
sj,2008,48,30
sj,2008,49,30
sj,2008,50,22
sj,2008,51,21
sj,2008,52,20
sj,2009,1,14
sj,2009,2,10
sj,2009,3,12
sj,2009,4,15
sj,2009,5,13
sj,2009,6,14
sj,2009,7,12
sj,2009,8,13
sj,2009,9,9
sj,2009,10,10
sj,2009,11,13
sj,2009,12,9
sj,2009,13,7
sj,2009,14,8
sj,2009,15,7
sj,2009,16,11
sj,2009,17,12
sj,2009,18,12
sj,2009,19,17
sj,2009,20,17
sj,2009,21,20
sj,2009,22,18
sj,2009,23,24
sj,2009,24,26
sj,2009,25,27
sj,2009,26,29
sj,2009,27,31
sj,2009,28,35
sj,2009,29,37
sj,2009,30,39
sj,2009,31,40
sj,2009,32,41
sj,2009,33,43
sj,2009,34,41
sj,2009,35,42
sj,2009,36,44
sj,2009,37,42
sj,2009,38,43
sj,2009,39,42
sj,2009,40,41
sj,2009,41,42
sj,2009,42,42
sj,2009,43,42
sj,2009,44,43
sj,2009,45,44
sj,2009,46,39
sj,2009,47,36
sj,2009,48,34
sj,2009,49,33
sj,2009,50,32
sj,2009,51,29
sj,2009,52,29
sj,2010,53,29
sj,2010,1,25
sj,2010,2,23
sj,2010,3,19
sj,2010,4,19
sj,2010,5,21
sj,2010,6,12
sj,2010,7,14
sj,2010,8,17
sj,2010,9,18
sj,2010,10,21
sj,2010,11,15
sj,2010,12,16
sj,2010,13,22
sj,2010,14,23
sj,2010,15,21
sj,2010,16,19
sj,2010,17,25
sj,2010,18,27
